Title;Step;Expected result;Area Path;Iteration Path;QA Priority;Assigned To;Preconditions
;End of test.;;;;;;;
Flota Dealera - vehicle: edit mileage record;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.
Mileage record for vehicle is created.";
;On the left-side menu, go to 'Lista pojazdów';Page 'Lista pojazdów' is loaded.;;;;;;
;Click edit icon next to created vehicle.;Pop-up window 'Edycja pojazdu' is displayed.;;;;;;
;Click 'Ewidencja przebiegu' tab.;'Ewidencja przebiegu' page is displayed.;;;;;;
;Click edit icon next to the record which is to be edited.;Mileage record form is displayed.;;;;;;
;Change any data in the form and click 'Zapisz zmiany'.;The form is closed, user is redirected to mileage records list.;;;;;;
;Verify if modified data is visible on the records' list.;It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - vehicle: delete mileage record;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.
Mileage record for vehicle is created.";
;On the left-side menu, go to 'Lista pojazdów';Page 'Lista pojazdów' is loaded.;;;;;;
;Click edit icon next to created vehicle.;Pop-up window 'Edycja pojazdu' is displayed.;;;;;;
;Click 'Ewidencja przebiegu' tab.;'Ewidencja przebiegu' page is displayed.;;;;;;
;Click delete icon next to the record which is to be edited.;Pop-up window 'Potwierdzenie' is displayed.;;;;;;
;Click 'Nie'.;Pop-up window 'Potwierdzenie' is closed.;;;;;;
;Verify if mileage record is still on the list.;It displays correctly.;;;;;;
;Click delete icon next to the record which is to be edited.;Pop-up window 'Potwierdzenie' is displayed.;;;;;;
;Click 'Tak'.;Pop-up window 'Potwierdzenie' is closed.;;;;;;
;Verify if mileage record is NOT on the list.;Mileage record is NOTon the list.;;;;;;
;End of test.;;;;;;;
Flota Dealera - add mileage record in Blacharnia application;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Park is created.
Vehicle is assinged to the park.
Mileage record for vehicle is created.";
;Go to 'Blacharnia' application.;'Blacharnia' page is displayed.;;;;;;
;Go to 'BOK Blacharnia' -> BOK CLS (the one for which park is assigned).;BOK CLS  page is displayed.;;;;;;
;On the left-side menu, go to 'Kalendarz pojazdów'.;'Kalendarz pojazdów' page is displayed.;;;;;;
;On the left panel, find created vehicle.;Vehicle is on the list.;;;;;;
;Next to the vehicle, click three-dot menu to verify if 'Ewidencja przebiegu' button is displayed.;It displays correctly.;;;;;;
;Click 'Ewidencja przebiegu'.;Pop-up window 'Ewidencja przebiegu' is displayed.;;;;;;
;Verify if previously created mileage record is visible on the list.;It displays correctly.;;;;;;
;Click 'Utwórz ewidencję'.;Nowy wpis do ewidencji' form is displayed.;;;;;;
;Fill in all fields and click 'Zapisz zmiany'.;The form is closed, user is redirected to mileage records list.;;;;;;
;Verify if created record is visible on the list.;It displays correctly.;;;;;;
;Go to 'Flota Dealera' -> 'Auta zastępcze'.;Kalendarz pojazdów' page is displayed.;;;;;;
;On the left-side menu, go to 'Lista pojazdów';Page 'Lista pojazdów' is loaded.;;;;;;
;Click edit icon next to created vehicle.;Pop-up window 'Edycja pojazdu' is displayed.;;;;;;
;Click 'Ewidencja przebiegu' tab.;'Ewidencja przebiegu' page is displayed.;;;;;;
;Verify if mileage record created in 'Blacharnia' application, steps 8-9, is visible on the list.;It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - vehicle: print mileage record;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.
Mileage record for vehicle is created.";
;On the left-side menu, go to 'Lista pojazdów';Page 'Lista pojazdów' is loaded.;;;;;;
;Click edit icon next to created vehicle.;Pop-up window 'Edycja pojazdu' is displayed.;;;;;;
;Click 'Ewidencja przebiegu' tab.;'Ewidencja przebiegu' page is displayed.;;;;;;
;Click 'Wydrukuj'.;Calendar is displayed.;;;;;;
;Choose a month for which mileage records are to be printed and click 'Wydrukuj'.;Calendar is closed, pdf file is generated.;;;;;;
;Open generated PDF file to verify if data is consistent with mileage records.;It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - print mileage record;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.";
;On the left-side menu, go to 'Lista pojazdów';Page 'Lista pojazdów' is loaded.;;;;;;
;Click 'Wydrukuj'.;Calendar is displayed.;;;;;;
;Choose a month for which mileage records are to be printed and click 'Wydrukuj'.;Calendar is closed, pdf file is generated.;;;;;;
;Verify if PDF file contains mileage records for all listed vehicles.;It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - print mileage record (filtered data);;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.";
;On the left-side menu, go to 'Lista pojazdów';Page 'Lista pojazdów' is loaded.;;;;;;
;Filter data, e.g. by brand.;The list is filtered.;;;;;;
;Click 'Wydrukuj'.;Calendar is displayed.;;;;;;
;Choose a month for which mileage records are to be printed and click 'Wydrukuj'.;Calendar is closed, pdf file is generated.;;;;;;
;Verify if PDF file contains mileage records for filtered vehicles.;It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - vehicle status: Niedostępny;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Park is created.
Vehicle is assinged to the park.
Flota Dealera page is loaded.";
;Next to created vehicle, click three-dot menu -> 'Edytuj pojazd'.;Pop-up window 'Edycja pojazdu' is displayed.;;;;;;
;Change 'Status': Niedostępny and click 'Zapisz zmiany'.;Pop-up window 'Edycja pojazdu' is closed.;;;;;;
;Without refreshing the page, verify if vehicle is still visible on the list.;It displays correctly.;;;;;;
;Refresh the page and verify if vehicle is NOT visible on the list.;Vehicle is NOT visible on the list.;;;;;;
;Go to 'Lista pojazdów'.;'Lista pojazdów' page is displayed.;;;;;;
;Find the vehicle edited in previous steps and verify if it has status 'Niedostępny'.;It displays correctly.;;;;;;
;Click 'Edytuj' icon (column 'Operacje) next to edited vehicle.;Pop-up window 'Edycja pojazdu' is displayed.;;;;;;
;Change 'Status': Dostępny and click 'Zapisz zmiany'.;Pop-up window 'Edycja pojazdu' is closed.;;;;;;
;Go back to 'Kalendarz pojazdów'.;'Kalendarz pojazdów' page is displayed.;;;;;;
;Without refreshing the page, verify if vehicle is still NOT visible on the list.;Vehicle is NOT visible on the list.;;;;;;
;Refresh the page and verify if vehicle is now visible on the list.;Vehicle is visible on the list.;;;;;;
;End of test.;;;;;;;
Flota Dealera - reservation: release vehicle form layout;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Park is created.
Vehicle is assinged to the park.
Flota Dealera page is loaded.";
;In 'Kalendarz pojazdów' page, create new reservation [LINK].;Reservation is created.;;;;;;
;Right-click on the reservation and click 'Wydaj'.;Pop-up window 'Wydanie pojazdu' is displayed.;;;;;;
;"Verify 'Wydanie pojazdu' section:
- toggle switch 'Planowana data/Dzisiejsza data' ('Planowana data' active by default)
- Data wydania (calendar)
- Doradca wydający (inactive, pre-filled automatically)";It displays correctly.;;;;;;
;Switch toggle to 'Dzisiejsza data' and verify if 'Data wydania is changed to today's date.;It displays correctly.;;;;;;
;"Verify 'Informacje o kierowcy' section:
- 'Wyczyść' button
- Imię
- Nazwisko
- Prefix
- Telefon
- E-mail
- Prawo jazdy
- Pesel";It displays correctly.;;;;;;
;"Verify 'Ewidencja przebiegu pojazdu' section:
- Przebieg
- Poziom pawliwa
- Cel wynajmu";It displays correctly.;;;;;;
;"Verify if 'Poziom paliwa' is a drop-down list with values:
- R
- 1/4
- 1/2
- 3/4
- 1/1";It displays correctly.;;;;;;
;"Verify 'Komentarz i wyposażenie' section:
- Komentarz
- Wyposażenie standardowe
- Wyposażenie dodatkowe";It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - reservation: release vehicle (mileage record mandatory);;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Park is created.
Flota Dealera page is loaded.";
;On the left-side menu, go to 'Lista pojazdów';Page 'Lista pojazdów' is loaded.;;;;;;
;"Create new vehicle [LINK]:
- assign to created park
- 'Wymaga ewidencji pojazdu' checkbox is marked";Vehicle is created.;;;;;;
;Go back to 'Kalendarz pojazdów'.;'Kalendarz pojazdów' page is displayed.;;;;;;
;Create reservation [LINK] for vehicle created is step 2 (date for today).;Reservation has been created.;;;;;;
;Right-click on the reservation and click 'Wydaj'.;Pop-up window 'Wydanie pojazdu' is displayed.;;;;;;
;"Click 'Wydaj' to verify mandatory fields:
- Imię
- Nazwisko
- Przebieg
- Poziom paliwa
- Cel wynajmu.";It displays correctly.;;;;;;
;Verify if in all mandatory fields there is a warning message: 'Pole nie może być puste'.;It displays correctly.;;;;;;
;Fill in all mandatory fields and click 'Wydaj'.;Pop-up window 'Wydanie pojazdu' is closed.;;;;;;
;"Verify if:
- information 'Pojazd został wydany' appeared.
- reservation colour in calendar is changed to light blue
- tiltle is changed to 'Wydany' (after hovering over)";It displays correctly.;;;;;;
;"Verify available actions after right-click on the reservation:
- Przyjmij
- Wydrukuj protokół przyjęcia
- Cofnij wydanie
- Edycja wydania
- Dodaj umowę";It displays correctly.;;;;;;
;Right-click on the reservation and click 'Przyjmij'.;Pop-up window 'Przyjęcie pojazdu' is displayed.;;;;;;
;"Click 'Przyjmij' to verify mandatory fields:
- Przebieg
- Poziom paliwa
- Opis trasy.";It displays correctly.;;;;;;
;Verify if 'Wartość z wydania' information is visible in field 'Przebieg'.;It displays correctly.;;;;;;
;Fill in all mandatory fields and click 'Przyjmij'.;Pop-up window 'Przyjęcie pojazdu' is closed.;;;;;;
;"Verify if:
- information 'Pojazd został przyjęty' appeared.
- reservation colour in calendar is changed to dark green
- tiltle is changed to 'Przyjęty' (after hovering over)";It displays correctly.;;;;;;
;"Verify available actions after right-click on the reservation:
- Cofnij przyjęcie
- Edycja przyjęcia
- Dodaj umowę
- Rozlicz";It displays correctly.;;;;;;
;Right-click on the reservation and click 'Rozlicz';Reservation is settled.;;;;;;
;"Verify if:.
reservation colour in calendar is changed to light grey
tiltle is changed to 'Rozliczone' (after hovering over)";It displays correctly.;;;;;;
;"Verify available actions after right-click on the reservation:
- Ustaw jako przyjęty
- Dodaj umowę";It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - reservation: release vehicle (mileage record not mandatory);;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Park is created.
Flota Dealera page is loaded.";
;On the left-side menu, go to 'Lista pojazdów';Page 'Lista pojazdów' is loaded.;;;;;;
;"Create new vehicle [LINK]:
- assign to created park
- 'Wymaga ewidencji pojazdu' checkbox is NOT marked";Vehicle is created.;;;;;;
;Go back to 'Kalendarz pojazdów'.;'Kalendarz pojazdów' page is displayed.;;;;;;
;Create reservation [LINK] for vehicle created is step 2 (date for today).;Reservation has been created.;;;;;;
;Right-click on the reservation and click 'Wydaj'.;Pop-up window 'Wydanie pojazdu' is displayed.;;;;;;
;"Click 'Wydaj' to verify mandatory fields:
- Imię
- Nazwisko
- Poziom paliwa
- Cel wynajmu.";It displays correctly.;;;;;;
;Verify if in all mandatory fields there is a warning message: 'Pole nie może być puste'.;It displays correctly.;;;;;;
;Fill in all mandatory fields and click 'Wydaj'.;Pop-up window 'Wydanie pojazdu' is closed.;;;;;;
;"Verify if:
- information 'Pojazd został wydany' appeared.
- reservation colour in calendar is changed to light blue
- tiltle is changed to 'Wydany' (after hovering over)";It displays correctly.;;;;;;
;Right-click on the reservation and click 'Przyjmij'.;Pop-up window 'Przyjęcie pojazdu' is displayed.;;;;;;
;"Click 'Przyjmij' to verify mandatory fields:
- Przebieg
- Poziom paliwa
- Opis trasy.";It displays correctly.;;;;;;
;Verify if 'Wartość z wydania' information is visible in field 'Przebieg'.;It displays correctly.;;;;;;
;Fill in all mandatory fields and click 'Przyjmij'.;Pop-up window 'Przyjęcie pojazdu' is closed.;;;;;;
;"Verify if:
- information 'Pojazd został przyjęty' appeared.
- reservation colour in calendar is changed to dark green
- tiltle is changed to 'Przyjęty' (after hovering over)";It displays correctly.;;;;;;
;"Verify available actions after right-click on the reservation:
- Cofnij przyjęcie
- Edycja przyjęcia
- Dodaj umowę
- Rozlicz";It displays correctly.;;;;;;
;Right-click on the reservation and click 'Rozlicz';Reservation is settled.;;;;;;
;"Verify if:.
reservation colour in calendar is changed to light grey
tiltle is changed to 'Rozliczone' (after hovering over)";It displays correctly.;;;;;;
;"Verify available actions after right-click on the reservation:
- Ustaw jako przyjęty
- Dodaj umowę";It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - reservation: release vehicle - Edit release;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Park is created.
Vehicle is assinged to the park.
Flota Dealera page is loaded.";
;In 'Kalendarz pojazdów' page, create new reservation [LINK].;Reservation is created.;;;;;;
;Release the vehicle [LINK - release vehicle];Vehicle is released, reservation has status: Wydany.;;;;;;
;Right-click on the reservation and click 'Edycja wydania'.;Pop-up window 'Edycja wydania' is displayed.;;;;;;
;Change any data in the form and click 'Zapisz'.;Pop-up window 'Edycja wydania' is closed.;;;;;;
;Click on the reservation to check if provided changes have been saved.;It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - reservation: Nowa umowa form layout;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Park is created.
Vehicle is assinged to the park.
Flota Dealera page is loaded.";
;In 'Kalendarz pojazdów' page, create new reservation [LINK].;Reservation is created.;;;;;;
;Right-click on the reservation and click 'Dodaj umowę'.;Pop-up window 'Nowa umowa' is displayed.;;;;;;
;"Verify 'Umowa' section:
- toggle switch 'Otwarta/Zamknięta
- Szablon dokumentu (drop-down list)
- Status umowy
- Numer umowy
- Data zawarcia umowy (calendar)
- Jednostka rozliczeniowa (drop-down list)
- Data od (calendar)
- Data do (calendar)
- Liczba jednostek
- Stawka netto
- Wartość netto
- Kaucja
- Dzienny limit przebiegu
- Dotyczy naprawy
- Dział";It displays correctly.;;;;;;
;"Verify 'Najemca' section:
- 'Wyczyść' button
- 'Firma' checkbox
- Imię
- Nazwisko
- Kraj
- Wybierz adres";It displays correctly.;;;;;;
;"Mark 'Firma'checkbox and verify 'Najemca' section again:
- Nip prefix
- Nip
- Regon
- Nazwa firmy
- Kraj
- Wybierz adres";;;;;;;
;"Verify 'Kierowca' section:
- 'Wyczyść' button
- Imię
- Nazwisko
- Prefiks
- Telefon
- PESEL
- Nr prawa jazdy
- Email
- Kraj
- Wybierz adres
- Wynajmujący (block with company data)
- Pojazd wynajmowany (block with vehivle data)";It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - reservation: add contract;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Park is created.
Vehicle is assinged to the park.
Flota Dealera page is loaded.";
;In 'Kalendarz pojazdów' page, create new reservation [LINK].;Reservation is created.;;;;;;
;Right-click on the reservation and click 'Dodaj umowę'.;Pop-up window 'Nowa umowa' is displayed.;;;;;;
;Click 'Zapisz'.;Warning message occurs: 'Proszę poprawić błędy w formularzu';;;;;;
;"Verify if mandatory fields are marked with red icon:
- Szablon dokumentu
- Jednostka rozliczeniowa";It displays correctly.;;;;;;
;Fill in the form and click 'Zapisz';Pop-up window 'Nowa umowa' is closed.;;;;;;
;Right-click on the reservation to check if option 'Edytuj umowę' is available.;It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - reservation: edit contract;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Park is created.
Vehicle is assinged to the park.
Flota Dealera page is loaded.";
;In 'Kalendarz pojazdów' page, create new reservation [LINK].;Reservation is created.;;;;;;
;Right-click on the reservation and click 'Dodaj umowę'.;Pop-up window 'Nowa umowa' is displayed.;;;;;;
;Fill in only section 'Umowa' and click 'Zapisz';Pop-up window 'Nowa umowa' is closed.;;;;;;
;Right-click on the reservation and click 'Edytuj umowę'.;Pop-up window 'Edycja umowy' is displayed.;;;;;;
;"Verify if below fields in section 'Umowa' are disabled for edition:
- Szablon dokumentu
- Status umowy
- Numer umowy
- Liczba jednostek
- Dział";It displays correctly.;;;;;;
;Click 'Zapisz'.;Warning message occurs: 'Proszę poprawić błędy w formularzu';;;;;;
;"Verify if mandatory fields are marked with red icon:
- Imię and Nazwisko in section 'Najemca'
- Imię and Nazwisko in section 'Kierowca'";It displays correctly.;;;;;;
;"Mark 'Firma' checkbox and click 'Zapisz' to check mandatory fields:
- Nip prefix
- Nazwa firmy";It displays correctly.;;;;;;
;Fill in mandatory fields and click 'Zapisz'.;Pop-up window 'Edycja umowy' is closed.;;;;;;
;Open 'Edycja umowy' again to verify if modified data is saved.;It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - reservation: vehilce availability;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Park is created.
Vehicle is assinged to the park.
Flota Dealera page is loaded.";
;Next to created vehicle, click three-dot menu -> 'Edytuj pojazd'.;Pop-up window 'Edycja pojazdu' is displayed.;;;;;;
;"In section 'Dostępność pojazdu' select dates:
- Dostępny od: Tuesday date
- Dostępny do: Friday date";Dates are selected.;;;;;;
;"Click 'Zapisz zmiany' to verify if message ""Proszę poprawić błędy w formularzu"".";It displays correctly.;;;;;;
;"Verfiy error message in field 'Dostępny od': ""Data rozpoczęcia użytkowania pojazdu musi przypadać na poniedziałek"".";It displays correctly.;;;;;;
;"Verfiy error message in field 'Dostępny do': ""Data zakończenia użytkowania pojazdu musi przypadać na niedzielę"".";It displays correctly.;;;;;;
;"Change dates in section 'Dostępność pojazdu':
- Dostępny od: Monday date
- Dostępny do: Sunday date BEFORE selected Monday";Dates are selected.;;;;;;
;"Click 'Zapisz zmiany' to verify if message ""Proszę poprawić błędy w formularzu"".";It displays correctly.;;;;;;
;"Verfiy error message in field 'Dostępny do': ""Wartość pola musi być większa niż {date in field 'Dostępny od'}"".";It displays correctly.;;;;;;
;Change date in 'Dostępny do' to Sunday after selected Monday.;Date is changed.;;;;;;
;Click 'Zapisz zmiany'. ;Pop-up window 'Edycja pojazdu' is closed.;;;;;;
;Verify if fields in calendar are changed to white (for dates selected in steps 6, 9);It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - reservation: vehilce in ongoing rental;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Park is created.
Vehicle is assinged to the park.
Flota Dealera page is loaded.
Reservation created in status 'Wydany'.";
;In 'Kalendarz pojazdów' page, create new reservation for current day for the vehicle (after existing reservation) [LINK].;Reservation is created.;;;;;;
;"Right-click on the reservation to verify the list of actions:
- Usuń
- Dodaj umowę
- Przeplanuj
- Przejdź do trwającego wynajmu.";It displays correctly.;;;;;;
;Click 'Przejdź do trwającego wynajmu'.;Calendar is swtiched to the day with ongoing rental.;;;;;;
;Verify if found reservation is marked with red frame.;It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - searching reservation view layout;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.";
;"In 'Kalendarz pojazdów' page click ""Wyszukaj rezerwacje"".";Pop-up window 'Wyszukiwanie rezerwacji' is displayed.;;;;;;
;"Verify header buttons:
- Pokaż tylko przeterminowane (toggle switch)
- Wyczyść filtry";It displays correctly.;;;;;;
;"Switch toggle to activate 'Pokaż tylko przeterminowane' to verify if:
- only overdue reservation are displayed
- overdue reservation are in red font";It displays correctly.;;;;;;
;"Verify columns in section 'Rezerwacje':
- Nazwa
- Imię
- Nazwisko
- Nr rejestracyjny
- Tel. Kontaktowy
- Status (drop-down list)
- Komentarz
- Zasób
- Typ rezerwacji (drop-down list)
- Od (calendar)
- Do (calendar)
- Akcje";It displays correctly.;;;;;;
;"Verify if there is a search field under columns:
- Nazwa
- Imię
- Nazwisko
- Nr rejestracyjny
- Tel. Kontaktowy
- Komentarz
- Zasób";It displays correctly.;;;;;;
;"Verify items in 'Status' drop-down list:
- (Wszystkie)
- Przyjęty
- Rezerwacja
- Wydany
- Awizo
- Rozliczone
- Domyślny";It displays correctly.;;;;;;
;"Verify items in 'Typ rezerwacji' drop-down list:
- (Wszytskie)
- Rezerwacja do naprawy
- Rezeracja na pojazd
- Wyłączenie
- Jazda próbna";It displays correctly.;;;;;;
;"In column 'Akcje', click 'Pokaż' next to any reservation to verify if:
- pop-up window 'Wyszukiwanie rezerwacji' is closed
- in 'Kalendarz pojazdów' selected reservation is displayed and highllighted with red frame";It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - carwash reservation;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Park is created.
Vehicle is assinged to the park.
Flota Dealera page is loaded.";
;On the left-side menu, go to 'Kalendarz myjni';Page 'Kalendarz myjni' is loaded.;;;;;;
;"Click on ""Myjnia automatyczna"".";"""Myjnia automatyczna"" calendar is displayed.";;;;;;
;In top panel of the carwash calendar, click on next Monday.;Calendar is switched to selected day.;;;;;;
;In the main window of the calendar, click on the field next to any available hour (e.g. 10:00).;Pop-up window 'Dodaj rezerwację' is displayed.;;;;;;
;Click 'Dodaj'.;Warning message occurs: 'Proszę poprawić błędy w formularzu';;;;;;
;"Verify if mandatory fields are marked with red icon:
- Numer rejestracyjny
- Nr VIN";It displays correctly.;;;;;;
;"In ""Typ"" drop-down list select ""Rezerwacja na pojazd"".";"""Rezerwacja na pojazd"" is selected.";;;;;;
;"Verify if ""Dział, dla którego jest mycia"" field is:
- inactive
- prefilled with correct dealer fleet.";It displays correctly.;;;;;;
;"In ""Program mycia"" drop-down list select any washing program.";Program is selected.;;;;;;
;"Verify if ""Data"" field is:
- inactive
- prefilled with correct date";It displays correctly.;;;;;;
;"Verify if ""Godzina od"" field is:
- inactive
- prefilled with correct hour.";It displays correctly.;;;;;;
;"Verify if ""Godzina do"" field is:
- inactive
- prefilled with correct hour according to time of selected program.";It displays correctly.;;;;;;
;"Fill in fields ""Numer rejestracyjny"" and ""Nr VIN"".";Fields are filled in.;;;;;;
;"Click ""Dodaj"".";Pop-up window 'Dodaj rezerwację' is closed.;;;;;;
;Verify if washing is visible on the calendar.;It displays correctly.;;;;;;
;"Verify the washing:
- colour: dark blue
- title (after hovering over): Status mycia - Zaplanowane";It displays correctly.;;;;;;
;"Right-click on the washing to verify available actions:
- Przeplanuj
- Usuń";It displays correctly.;;;;;;
;Go to application: Myjnia -> Myjnia automatyczna;"""Myjnia automatyczna"" page is displayed.";;;;;;
;Verify if washing created in previous steps is visble in the calendar.;It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - searching reservation (single filter);;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.
Multiple reservations are available.";
;"In 'Kalendarz pojazdów' page click ""Wyszukaj rezerwacje"".";Pop-up window 'Wyszukiwanie rezerwacji' is displayed.;;;;;;
;"Verify searching by name (column 'Nazwa'):
- in search field type in a part of customer's name";The list is filtered correctly.;;;;;;
;Verify if searching by name (column 'Nazwa') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;;
;Verify sorting by name (column 'Nazwa') by clicking on column's header.;The list is sorted correctly.;;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;;
;"Verify searching by first name (column 'Imię'):
- in search field type in a part of customer's first name";The list is filtered correctly.;;;;;;
;Verify if searching by first name (column 'Imię') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;;
;Verify sorting by first name (column 'Imię') by clicking on column's header.;The list is sorted correctly.;;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;;
;"Verify searching by last name (column 'Nazwisko'):
- in search field type in a part of customer's last name";The list is filtered correctly.;;;;;;
;Verify if searching by last name (column 'Nazwisko') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;;
;Verify sorting by last name (column 'Nazwisko') by clicking on column's header.;The list is sorted correctly.;;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;;
;"Verify searching by registration plate (column 'Nr rejestracyjny'):
- in search field type in a part of registration plate";The list is filtered correctly.;;;;;;
;Verify if searching by registration plate (column 'Nr rejestracyjny') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;;
;Verify sorting by registration plate (column 'Nr rejestracyjny') by clicking on column's header.;The list is sorted correctly.;;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;;
;"Verify searching by phone number (column 'Tel.kontaktowy'):
- in search field type in a part of phone number";The list is filtered correctly.;;;;;;
;Verify sorting by phone number (column 'Tel.kontaktowy') by clicking on column's header.;The list is sorted correctly.;;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;;
;"Verify searching by status (column 'Status'):
- select any status from drop-down list";The list is filtered correctly.;;;;;;
;Verify sorting by status (column 'Status') by clicking on column's header.;The list is sorted correctly.;;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;;
;"Verify searching by comment (column 'Komentarz'):
- in search field type in a part of a comment";The list is filtered correctly.;;;;;;
;Verify if searching by comment (column 'Komentarz') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;;
;Verify sorting by comment (column 'Komentarz') by clicking on column's header.;The list is sorted correctly.;;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;;
;"Verify searching by resource (column 'Zasób'):
- in search field type in a part of a resource";The list is filtered correctly.;;;;;;
;Verify if searching by resource (column 'Zasób') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;;
;Verify sorting by resource (column 'Zasób') by clicking on column's header.;The list is sorted correctly.;;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;;
;"Verify searching by reservation type (column 'Typ rezerwacji'):
- select any type from drop-down list";The list is filtered correctly.;;;;;;
;Verify sorting by reservation type (column 'Typ rezerwacji') by clicking on column's header.;The list is sorted correctly.;;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;;
;"Verify searching by 'from' date (column 'Od'):
- select any date";The list is filtered correctly.;;;;;;
;Verify sorting by 'from' date (column 'Od') by clicking on column's header.;The list is sorted correctly.;;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;;
;"Verify searching by 'to' date (column 'Do'):
- select any date";The list is filtered correctly.;;;;;;
;Verify sorting by 'from' date (column 'Do') by clicking on column's header.;The list is sorted correctly.;;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;;
;End of test.;;;;;;;
Flota Dealera - searching reservation (multiple filters);;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.
Multiple reservations are available.";
;"In 'Kalendarz pojazdów' page click ""Wyszukaj rezerwacje"".";Pop-up window 'Wyszukiwanie rezerwacji' is displayed.;;;;;;
;Filter data by first name.;The list is filtered correctly.;;;;;;
;Add filtering by last name.;The list is filtered correctly.;;;;;;
;Add filtering by date.;The list is filtered correctly.;;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;;
;End of test.;;;;;;;
