Title;Step;Expected result;Area Path;Iteration Path;QA Priority;Assigned To;Preconditions
Blacharnia - Kalendarz pojazdów (page layout);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded"
;On the left-side menu, go to 'Kalendarz pojazdów';Page 'Kalendarz pojazdów' is loaded.;;;;;
;"Verify left panel on the page:
- today's date in format: full day name, DD.MM.YYY
- 'Dzisiaj' button
- 'Wybierz dzień' button
- search bar (drop-down list)
- - parks' list with assigned cars";It displays correctly.;;;;;
;"Verify top panel of the page:
- toggle switch: 'Dostępny na dziś'
- button: 'Wyszukaj rezerwację'
- drop-down list with time
- toggle switch: '7 dni 30 dni'
- button: 'Sortowanie grup'";It displays correctly.;;;;;
;"Verify that below top panel calendar days are displayed:
- shortened name's day
-DD.MM";It displays correctly.;;;;;
;End of test.;;;;;;
Blacharnia - Lista umów (page layout);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded"
;On the left-side menu, go to 'Lista umów';Page 'Lista umów' is loaded.;;;;;
;"Verify top panel of the page:
- button: 'Odśwież'
- button: 'Wyczyść filtry'
- three dots menu: 'Eksportuj do Excela'
- filter button
- checkbox: Bez naprawy
- checkbox: Otwarte przeterminowane";It displays correctly.;;;;;
;"Verify columns in page layout, section 'Pojazd wynajmowany':
- Operacje
- Nr rej.
- Model
- Park (drop-down list)
- Data wydania (calendar)
- Data przyjęcia (calendar)";It displays correctly.;;;;;
;"Verify columns in page layout, section 'Umowa':
- Numer umowy
- Status (drop-down lsit)
- Data od (calendar)
- Data do (calendar)
- Dotyczy naprawy";It displays correctly.;;;;;
;"Verify columns in page layout, section 'Pojazd naprawiany':
- Najemca
- Nr rej.
- Model (drop-down list)
- Umowa dla
- Utworzył";It displays correctly.;;;;;
;Verify if all columns are sortable (except column Operacje);Columns are sortable.;;;;;
;Verify if under each column name (except column 'Operacje') there is a search field.;It displays correctly.;;;;;
;"Move the mouse over search icon to verify searching type (columns from 'Nr rej.' and 'Model'):
- Zawiera
- Nie zawiera
- Zaczyna się od
- Kończy się
- Równy
- Nierówny
- Wyczyść";It displays correctly.;;;;;
;Verify if search field for column 'Park' is a drop-down list with the list of parks.;It displays correctly.;;;;;
;Verify if search field for columns 'Data wydania', 'Data przyjęcia' is a calendar.;It displays correctly.;;;;;
;"Move the mouse over search icon to verify searching type (column 'Numer umowy'):
- Zawiera
- Nie zawiera
- Zaczyna się od
- Kończy się
- Równy
- Nierówny
- Wyczyść";It displays correctly.;;;;;
;"Verify if search field for column 'Status' is a drop-down list with following values:
- (Wszystkie)
- Otwarta
- Zamknięta";It displays correctly.;;;;;
;Verify if search field for columns 'Data od', 'Data do' is a calendar.;It displays correctly.;;;;;
;"Move the mouse over search icon to verify searching type (columns from 'Dotyczy naprawy' to 'Nr rej'):
- Zawiera
- Nie zawiera
- Zaczyna się od
- Kończy się
- Równy
- Nierówny
- Wyczyść";It displays correctly.;;;;;
;Verify if search field for column 'Model' (section 'Pojazd naprawiany') is a drop-down list with the list of models.;It displays correctly.;;;;;
;"Move the mouse over search icon to verify searching type (columns 'Umowa dla', 'Utworzył'):
- Zawiera
- Nie zawiera
- Zaczyna się od
- Kończy się
- Równy
- Nierówny
- Wyczyść";It displays correctly.;;;;;
;End of test.;;;;;;
Blacharnia - Myjnia (page layout);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded"
;On the left-side menu, go to 'Myjnia';Page 'Myjnia' is loaded.;;;;;
;"Verify left panel on the page:
- today's date in format: full day name, DD.MM.YYY
- 'Dzisiaj' button
- 'Wybierz dzień' button
- hours (blocks of half an hour)";It displays correctly.;;;;;
;"Verify top panel of the page:
- button: 'Wyszukaj rezerwację'";It displays correctly.;;;;;
;"Verify that below top panel calendar days are displayed:
- shortened name's day
-DD.MM
- time usage/availability";It displays correctly.;;;;;
;"Verify if below days' panel there is a bar with data per day selected in above panel:
- full day's name
- DD.MM
- time usage/availability
- number of events planned for this day";It displays correctly.;;;;;
;End of test;;;;;;
Blacharnia - Lista myć (page layout);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded"
;On the left-side menu, go to 'Lista myć';Page 'Lista myć' is loaded.;;;;;
;"Verify to panel:
- 'Odśwież' button
- 'Wyczyść filtry' button
- three-dot menu with 'Export do Excela' button";It displays correctly.;;;;;
;"Verify columns in page layout:
- Postęp mycia
- Dział zlecający mycie
- Nr rejestracyjny
- Nr nadwozia
- Marka
- Model
- Zleceniodawca
- Planowana data mycia od
- Program mycia
- Czas mycia
- Kto wykonał mycie
- Kiedy wykonał mycie
- Uwagi
- Mycie bezterminowe
- Kto zaplanował mycie
- Data utworzenia
- Utworzył
- Myjnia";It displays correctly.;;;;;
;Verify if all columns are sortable.;Columns are sortable.;;;;;
;Verify if next to each column's name there is a filter button.;It displays correctly.;;;;;
;Verify if under each column name there is a search field.;It displays correctly.;;;;;
;"Move the mouse over search icon to verify searching type (columns with calendars):
- Równy
- Nierówny
- Mniejsze od
- Większe
- Mniejszy lub równy
- Większy lub równy
- Pomiędzy
- Wyczyść";It displays correctly.;;;;;
;"Move the mouse over search icon to verify searching type (except columns 'Marka' and 'Model'):
- Zawiera
- Nie zawiera
- Zaczyna się od
- Kończy się
- Równy
- Nierówny
- Wyczyść";It displays correctly.;;;;;
;"Move the mouse over search icon to verify searching type (columns 'Marka' and 'Model'):
- Zawiera
- Wyczyść";It displays correctly.;;;;;
;"Verify if search field for column 'Postęp mycia' is a drop-down list with following items:
- (Wszystkie)
- Zaplanowane
- Rozpoczęte
- Wstrzymane
- Zakończone";It displays correctly.;;;;;
;Verify if search field for column 'Marka' is a drop-down list with the list of vehicle makes.;It displays correctly.;;;;;
;Verify if search field for column 'Model' is a drop-down list with the list of vehicle models.;It displays correctly.;;;;;
;"Verify if search field for column 'Mycie bezterminowe' is a drop-down list with following items:
- (Wszystkie)
- Tak
- Nie";It displays correctly.;;;;;
;"Verify if search field for below columns is a calendar:
- Planowana data mycia od
- Kiedy wykonał mycie
- Data utworzenia";It displays correctly.;;;;;
;"Verify available options for pagination:
- 30
- 50
- 100";It displays correctly.;;;;;
;End of test.;;;;;;
Blacharnia - Lista szkód w toku (page layout);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded"
;On the left-side menu, go to 'Lista szkód w toku'.;Page 'Lista szkód w toku' is loaded.;;;;;
;"Verify to panel:
- 'Odśwież' button
- 'Wyczyść filtry' button
- three-dot menu with 'Export do Excela' button";It displays correctly.;;;;;
;"Verify filtering section:
- number input spinner: Szkody BOK poza ASO powyżej (ilość dni)
- number input spinner: Szkody BOK w ASO powyżej (ilość dni)
- number input spinner: Szkody warsztat powyżej (ilość dni)
- Numer faktury
- checkbox: Szkody bez zleceń
- checkbox: Multiszkody
- checkbox: Wiele zleceń od szkody
- checkbox: Szkody z kosztorysem
- checkbox: Szkody bez kosztorysu
- checkbox: Szkody przeplanowane
- checkbox: Szkody całkowite";It displays correctly.;;;;;
;"Verify columns in page layout:
- Operacje
- Nr naprawy
- Nr faktury
- Wystawiona faktura
- Nr szkody 
- Nr rejestracyjny
- Nr nadwozia
- Marka
- Model
- Zleceniodawca
- Telefon zleceniodawcy
- Cecha ASO
- Status szkody
- Status pojazdu
- Miejsce pojazdu
- Miejsce parkingowe
- Etap
- Rodzaj szkody
- Nazwa TU
- Kwalifikacja
- Opis szkody
- Wartość netto aktywnego kosztorysu
- Warsztat
- BOK odpowiedzialny
- Doradca odpowiedzialny
- Kosztorysant odpowiedzialny
- BOK obsługujący
- Doradca obsługujący
- Kosztorysant obsługujący
- Uwagi do naprawy
- Planowana data przyjęcia
- Planowana data wydania
- Utworzenie szkody
- Utworzył szkodę
- Wykonanie oględzin
- Utworzenie zlecenia
- Przyjęcie do naprawy
- Zakończenie zlecenia
- Zakończenie szkody
- Kierowalność
- Ilość przeplanowań
- Email zleceniodawcy
- Adres zleceniodawcy
- Identyfikator naprawy";It displays correctly.;;;;;
;Verify if all columns are sortable (except columns Operajce, Adres zleceniodawcy).;Columns are sortable.;;;;;
;Verify if next to each column's name there is a filter button (except columns Operajce, Adres zleceniodawcy).;It displays correctly.;;;;;
;Verify if under each column name there is a search field (except columns Operajce, Adres zleceniodawcy).;It displays correctly.;;;;;
;"Move the mouse over search icon to verify searching type (columns with calendars and amount):
- Równy
- Nierówny
- Mniejsze od
- Większe
- Mniejszy lub równy
- Większy lub równy
- Pomiędzy
- Wyczyść";It displays correctly.;;;;;
;"Move the mouse over search icon to verify searching type (except columns 'Marka' and 'Model'):
- Zawiera
- Nie zawiera
- Zaczyna się od
- Kończy się
- Równy
- Nierówny
- Wyczyść";It displays correctly.;;;;;
;"Move the mouse over search icon to verify searching type (columns 'Marka' and 'Model'):
- Zawiera
- Wyczyść";It displays correctly.;;;;;
;"Verify if search field for column 'Wystawiona faktura' is a drop-down list with following items:
- (Wszystkie)
- Tak
- Nie";It displays correctly.;;;;;
;Verify if search field for column 'Marka' is a drop-down list with the list of vehicle makes.;It displays correctly.;;;;;
;Verify if search field for column 'Model' is a drop-down list with the list of vehicle models.;It displays correctly.;;;;;
;"Verify if search field for column 'Status szkody' is a drop-down list with following items:
- (Wszystkie)
- W toku
- Niezakończona
- W oczekiwaniu
- Zakończona
- Zawieszona
- Brak naprawy
- Anulowana";It displays correctly.;;;;;
;"Verify if search field for column 'Status pojazdu' is a drop-down list with following items:
- (Wszystkie)
- Nieprzyjęty
- Przyjęty
- Wydany";It displays correctly.;;;;;
;"Verify if search field for below columns is a calendar:
- Planowana data przyjęcia
- Planowana data wydania
- Utworzenie szkody
- Wykonanie oględzin
- Utworzenie zlecenia
- Przyjęcie do naprawy
- Zakończenie zlecenia
- Zakończenie szkody";It displays correctly.;;;;;
;"Verify summary section below the table:
- Wartość kosztorysów
- Naprawy
- Szkody
- Zlecenia";It displays correctly.;;;;;
;"Verify available options for pagination:
- 30
- 50
- 100";It displays correctly.;;;;;
;End of test.;;;;;;
Blacharnia - Lista szkód w toku (single filter - grid);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded
Multiple claims are available"
;On the left-side menu, go to 'Lista szkód w toku'.;Page 'Lista szkód w toku' is loaded.;;;;;
;"Verify filtering by number input spinner: 'Szkody BOK poza ASO powyżej (ilość dni)':
- click UP to increase the number of days.";The list is filtered correctly.;;;;;
;In the same field, click DOWN to decrease number of days.;The list is filtered correctly.;;;;;
;In the same field, type the number of days manually.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;"Verify filtering by number input spinner: 'Szkody BOK w ASO powyżej (ilość dni)':
- click UP to increase the number of days.";The list is filtered correctly.;;;;;
;In the same field, click DOWN to decrease number of days.;The list is filtered correctly.;;;;;
;In the same field, type the number of days manually.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;"Verify filtering by number input spinner: 'Szkody warsztat powyżej (ilość dni)':
- click UP to increase the number of days.";The list is filtered correctly.;;;;;
;In the same field, click DOWN to decrease number of days.;The list is filtered correctly.;;;;;
;In the same field, type the number of days manually.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;"Verify filtering by invoice number (field 'Numer faktury:
- type in invoice number.";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify filtering by claims wihout orders by marking checkbox: 'Szkody bez zleceń'.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify filtering by multiclaims by marking checkbox: 'Multiszkody'.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify filtering by multiple orders for a claim by marking checkbox: 'Wiele zleceń do szkody'.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify filtering by claims with cost estimation by marking checkbox: 'Szkody z kosztorysem'.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify filtering by claims without cost estimation by marking checkbox: 'Szkody bez kosztorysu'.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify filtering by rescheduled claims by marking checkbox: 'Szkody przeplanowane'.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify filtering by rescheduled claims by marking checkbox: 'Szkody całkowite'.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
Blacharnia - Lista szkód w toku (single filter - columns);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded
Multiple claims are available"
;On the left-side menu, go to 'Lista szkód w toku'.;Page 'Lista szkód w toku' is loaded.;;;;;
;Verify sorting by repair number (column 'Nr naprawy') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by repair number (column 'Nr naprawy'):
- in search field type in a repair number";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by order number (column 'Nr zlecenia wiodącego') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by order number (column 'Nr zlecenia wiodącego'):
- in search field type in a part of order number";The list is filtered correctly.;;;;;
;Verify if searching by order number (column 'Nr zlecenia wiodącego') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by invoice number (column 'Nr faktury') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by invoice number (column 'Nr faktury'):
- in search field type in a part of invoice number";The list is filtered correctly.;;;;;
;Verify if searching by invoice number (column 'Nr faktury') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by invoice status (column 'Wystawiona faktura') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by invoice status (column 'Wystawiona faktura'):
- select any option from drop-down list";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by claim number (column 'Nr szkody') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by claim number (column 'Nr szkody'):
- in search field type in a part of claim number";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by registration plate (column 'Nr rejestracyjny') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by registration plate (column 'Nr rejestracyjny'):
- in search field type in a part of registration plate";The list is filtered correctly.;;;;;
;Verify if searching by registration plate (column 'Nr rejestracyjny') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by VIN (column 'Numer nadwozia') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by registration plate (column 'Numer nadwozia'):
- in search field type in a part of VIN.";The list is filtered correctly.;;;;;
;Verify if searching by VIN (column 'Numer nadwozia') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by make (column 'Marka') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by make (column 'Marka'):
- select any option from drop-down list";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by model (column 'Model') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by model (column 'Model'):
- select any option from drop-down list";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by client (column 'Zleceniodawca') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by client (column 'Zleceniodawca'):
- in search field type in a part of client's name.";The list is filtered correctly.;;;;;
;Verify if searching by client (column 'Zleceniodawca') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by client's phone number (column 'Telefon zleceniodawcy') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by client's phone number (column 'Telefon zleceniodawcy'):
- in search field type in client's phone number.";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by ASO feature (column 'Cecha ASO') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by ASO feature (column 'Cecha ASO'):
- in search field type in a part of ASO feature.";The list is filtered correctly.;;;;;
;Verify if searching by ASO feature (column 'Cecha ASO') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;Verify sorting by claim status (column 'Status szkody') by clicking on column's header.;The list is sorted correctly.;;;;;
;"Verify searching by claim status (column 'Status szkody'):
- select any option from drop-down list";The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
