Title;Step;Expected result;Area Path;Iteration Path;QA Priority;Assigned To;Preconditions;;https://cloud-qa.softvig.pl/
;Click on the exclamation mark.;Error message appears: 'Brak zgodności pomiędzy nowym hasłem a jego powtórzeniem';;;;;;;
;Enter new password to both fields with only small letters.;Fields are filled in.;;;;;;;
;Click 'Zmień hasło'.;Red exclamation mark appears in the first field.;;;;;;;
;Click on the exclamation mark.;Error message appears: 'Nowe hasło wymaga przynajmniej jednej dużej i małej litery';;;;;;;
;Change one letter to big (keep the same password in both fields).;Fields are filled in.;;;;;;;
;Click 'Zmień hasło'.;Red exclamation mark appears in the first field.;;;;;;;
;Click on the exclamation mark.;Error message appears: 'Nowe hasło wymaga przynajmniej jednej cyfry';;;;;;;
;Change the password in both fields to: Test1;Fields are filled in.;;;;;;;
;Click 'Zmień hasło'.;Red exclamation mark appears in the first field.;;;;;;;
;Click on the exclamation mark.;Error message appears: 'Nowe hasło nie spełnia warunków długości hasła. Minimalna długość hasła to: 8 znaków.';;;;;;;
;End of test.;;;;;;;;
User login - log in via Omnetic;;;QA\SVCloud;QA\SVCloud\Autoryzacja;Medium;justyna.biernacka@softvig.pl;User has an account created in Omnetic (valid e-mail and password);;
;Go to: https://cloud-qa.softvig.pl/;Login page is loaded.;;;;;;;
;Click 'Logowanie z Omnetic'.;Omnetic login page is loaded.;;;;;;;
;Field 'Workspace' is filled in with 'metada' (non editable).;It displays correctly;;;;;;;
;Fill the 'E-mail' field with valid Omnetic e-mail.;Field is filled in.;;;;;;;
;Fill the 'Password' field with valid Omnetic password.;Field is filled in.;;;;;;;
;Click 'Log in'.;User is logged in, main page is loaded.;;;;;;;
;End of test.;;;;;;;;
User login - log in via Omnetic, invalid credentials;;;QA\SVCloud;QA\SVCloud\Autoryzacja;Medium;justyna.biernacka@softvig.pl;User has an account created in Omnetic (valid e-mail and password);;
;Go to: https://cloud-qa.softvig.pl/;Login page is loaded.;;;;;;;
;Click 'Logowanie z Omnetic'.;Omnetic login page is loaded.;;;;;;;
;Field 'Workspace' is filled in with 'metada' (non editable).;It displays correctly;;;;;;;
;Fill the 'E-mail' field with valid Omnetic e-mail.;Field is filled in.;;;;;;;
;Fill the 'Password' field with invalid Omnetic password.;Field is filled in.;;;;;;;
;Click 'Log in'.;Invalid credentials' message occurs, user is not logged in.;;;;;;;
;Fill the 'E-mail' field with invalid Omnetic e-mail.;Field is filled in.;;;;;;;
;Fill the 'Password' field with invalid Omnetic password.;Field is filled in.;;;;;;;
;Click 'Log in'.;Invalid credentials' message occurs, user is not logged in.;;;;;;;
;Fill the 'E-mail' field with invalid Omnetic e-mail.;Field is filled in.;;;;;;;
;Fill the 'Password' field with valid Omnetic password.;Field is filled in.;;;;;;;
;Click 'Log in'.;Invalid credentials' message occurs, user is not logged in.;;;;;;;
;End of test.;;;;;;;;
User login - opening help center;;;QA\SVCloud;QA\SVCloud\Autoryzacja;Medium;justyna.biernacka@softvig.pl;;;
;Go to: https://cloud-qa.softvig.pl/;Login page is loaded.;;;;;;;
;Click on the help icon in top-right corner.;Drop-down menu is visible.;;;;;;;
;"Verify drop-down menu content:
- Centrum pomocy
- Zgłoś problem
- Zadaj pytanie";It displays correctly.;;;;;;;
;Click 'Centrum pomocy'.;In the new window help center page is opened (https://help.svcloud.pl/svcloudwiki/doku.php?id=platforma_logowania:start);;;;;;;
;Go back to login page to click 'Zgłoś problem'.;In the new window, customer support portal is opened (with request form).;;;;;;;
;Go back to login page to click 'Zadaj pytanie'.;In the new window, customer support portal is opened (with request form).;;;;;;;
;End of test.;;;;;;;;
User login - log in/out on multiple browser tabs;;;QA\SVCloud;QA\SVCloud\Autoryzacja;Medium;justyna.biernacka@softvig.pl;User has a created account (valid e-mail and password);;
;Go to: https://cloud-qa.softvig.pl/;Login page is loaded.;;;;;;;
;Open any application.;Application page is loaded.;;;;;;;
;In the new tab, go to https://cloud-qa.softvig.pl/;User is automatically logged in.;;;;;;;
;Log out in the tab opened in previous step.;User is logged out.;;;;;;;
;Go back to the first tab (from step 1).;User is automatically logged out.;;;;;;;
;Log in again in the first tab.;User is logged in.;;;;;;;
;Verify that the session before logging out is restored (application selected in step 2 is loaded).;Session is restored.;;;;;;;
;End of test.;;;;;;;;
User login - log in on mobile phone;;;QA\SVCloud;QA\SVCloud\Autoryzacja;Medium;justyna.biernacka@softvig.pl;User has a created account (valid e-mail and password);;
;Go to https://cloud-qa.softvig.pl/ on mobile phone.;Login page is loaded.;;;;;;;
;Verify if the page is scaled correctly.;It displays correctly.;;;;;;;
;In field 'Adres e-mail' put valid e-mail address.;Field is filled in.;;;;;;;
;In field 'Hasło' put valid password.;Field is filled in.;;;;;;;
;Click 'Logowanie'.;User is logged in, main page is loaded.;;;;;;;
;"Verify if the page recognized the device:
- mobile phone icon is highlighted.";It displays correctly.;;;;;;;
;"Verify the list of available applications:
- Rejestrator postępu prac blacharni
- Rejestrator postępu prac myjni
- Blacharnia mobilna
- Mobile Video Service
- Door to door";It displays correctly.;;;;;;;
;Select any available application.;Application page is loaded.;;;;;;;
;Verify if appliaction is scaled correctly.;It displays correctly.;;;;;;;
;End of test.;;;;;;;;
User login - log in on tablet;;;QA\SVCloud;QA\SVCloud\Autoryzacja;Medium;justyna.biernacka@softvig.pl;User has a created account (valid e-mail and password);;
;Go to https://cloud-qa.softvig.pl/ on a tablet;Login page is loaded.;;;;;;;
;Verify if the page is scaled correctly.;It displays correctly.;;;;;;;
;In field 'Adres e-mail' put valid e-mail address.;Field is filled in.;;;;;;;
;In field 'Hasło' put valid password.;Field is filled in.;;;;;;;
;Click 'Logowanie'.;User is logged in, main page is loaded.;;;;;;;
;"Verify if the page recognized the device:
- mobile phone icon is highlighted.";It displays correctly.;;;;;;;
;"Verify the list of available applications:
- Rejestrator postępu prac blacharni
- Rejestrator postępu prac myjni
- Blacharnia mobilna
- Mobile Video Service
- Door to door";It displays correctly.;;;;;;;
;Select any available application.;Application page is loaded.;;;;;;;
;Verify if appliaction is scaled correctly.;It displays correctly.;;;;;;;
;End of test.;;;;;;;;
User login - edit profile data;;;QA\SVCloud;QA\SVCloud\Autoryzacja;Medium;justyna.biernacka@softvig.pl;"User has a created account (valid e-mail and password)
User is logged in.";;
;On the main page, click on drop-down menu on the top-right corner.;Drop-down menu is visible.;;;;;;;
;Click 'Mój profil'.;'Mój profil' page is displayed.;;;;;;;
;Click 'Edytuj awatar'.;Page for editing photo is displayed.;;;;;;;
;Click 'Zmień zdjęcie'. ;Window for selecting photo is displayed.;;;;;;;
;Choose a photo to upload.;Photo is uploaded.;;;;;;;
;Adjust the photo using 'Powiększ' and 'Wyprostuj' slides.;Photo is adjusted.;;;;;;;
;Click 'Zapisz'.;Photo is saved, user is redirected back to 'Mój profil' page.;;;;;;;
;"Verify if below fields are filled in and not editable:
- Imię
- Nazwisko
- Login";Fields are filled in, not editable.;;;;;;;
;Fill in the 'Prefix' field.;Filed is filled in.;;;;;;;
;Fill in the 'Numer telefonu komórkowego' field.;Filed is filled in.;;;;;;;
;Click 'Zapisz'. ;Confirmation message occurs, user is redirected to main page.;;;;;;;
;Click on the user photo which is now visible next to the help icon.;'Mój profil' page is displayed.;;;;;;;
;Verify if data modified in previous steps is visible (photo, phone number);Data is correct.;;;;;;;
;End of test.;;;;;;;;
User login - role verification: Admin;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;;;
;Log in to the system as admin (see <link>);User is logged in, main page is loaded.;;;;;"User has valid credentials
User has admin role assigned";;
;"Verify the list of available applications:
- x
- y
- z";It displays correctly.;;;;;;;
;Switch to mobile view by clicking mobile icon.;;;;;;;;
;"Verify the list of available applications:
- x
- y
- z";;;;;;;;
;Switch back to desktop view by clicking desktop icon;;;;;;;;
